Name|Description|Website|Keywords|Categories|People|Address|City|State|Zipcode|Phone Number|Email
Pointer|For 25 years, Pointer has been the creative and professional ally of small children, teenagers, artist and large businesses. Over the years, Pointer has significantly contributed to the learning and talents of children, young people, and artists in this creative and international continent through our School, Art, Craft, and Office products. Pointer is present in over 34 countries around the world.|https://www.pointerusa.com/|school supplies, painting, arts, crafts, office supplies. colored pencils, tempera s, crayons, scissors, graphite pencils, erasers, colorful pens, markers, highlighters, whiteboard markers, rulers.|Dollar Store Items, Art / Craft / Hobby, Stationery / Party / Paper / Gift Wrap, Office / School Supplies|Rigoberto Moreno, Virginia Zelaya||||||
1 St Lh Sunglasses Inc.|Wholesale sunglasses and sunglasses display www.glhsunglasses.com|http://www.glhsunglasses.com|sunglasses, eyewear|Sunglasses / Eyewear, General Merchandise, General Gifts|Linda Li|58-25 63rd St|Maspeth|NY|11378|(212) 868-5656|info_1stlhsunglasses@yahoo.com
26 California Wholesale|26 California Wholesale has been one of the region's largest general merchandise importers and wholesalers. Decor, Kitchen, Pet, Garden, Party, Cleaning, Bath are some of our categories we supply for you including Bonita Home, Cali-Home, Promarx, Echols, Magic Cover and Con-Tact Brand products. We offer branded and non- branded goods at all incredible savings that translate to large profits for your company. Thank you for being the best part of 26 California Wholesale!|http://www.26CWS.com|general merchandise, kitchen utensils, kitchen gadgets, kitchenware, pet, pet accessories, bath, storage, stationary, school supplies, office supplies, garden planters, garden accessories, beauty accessories, tools, hardware, home decor, home accents|Baby / Kids Products, Dollar Store Items, General Gifts|Lluis Portet, Sandra Gomez|2845 East 26th Street|Vernon|CA|90058|(323) 588-3026|cs@26cws.com
2Hope Accessories, Inc|Fashion Jewelry and Accessories! We also carry fashion jewelry for kids, a variety of fun novelty items and cosmetics!|http://www.twohopeaccessories.com||Fashion Jewelry / Watches, Cosmetics / Nails / Hair Products, General Gifts|Sylvia Kim|55 Tec St|Hicksville|NY|11801|(631) 396-0877|
365 Fashions Inc.|365 Fashions Inc. is an experienced Importer & Wholesaler of Sunglasses and Reading Glasses. It is in New York wholesale district for years. Our unique design and impressive quality have been helped so many customers to improve the business. 365 Fashions team has strong desire to assist the customer. Please feel free to explore the new styles at booth# N24116. 365 Fashions Inc. look forward to a successful working relationship with you in the future!|http://www.365fashions.com|sunglasses, reading glasses, sunglasses displays, sunglasses accessories, fashion sunglasses, fashion eyewear, 365 fashions, allure genesis, eyewear, sun readers, women's sunglasses, men's sunglasses, kids sunglasses, sunglasses pouches, shades, women's shades, men's shades, children's shades, children's sunglasses, drop shipping, ecommerce friendly, private label, wholesale|Sunglasses / Eyewear, General Merchandise, General Gifts, Souvenirs|Yvonne Jin|1710 Flashing Ave Ste 16|Ridgewood|NY|11385|(718) 576-3369|365fashions@gmail.com
5D Global Distributions Llc|5D Global Distributions is a leading provider of comprehensive E-Commerce and Retail solutions tailored to businesses of all sizes. We specialize in offering a suite of services encompassing E-Commerce platform development, Retail, strategic marketing, streamlined supply chain management, and more. Our mission is to empower businesses to thrive in the dynamic online marketplace by providing innovative, scalable, and customizable solutions.|https://5dglobaldistributions.com/about-us-2/|||Monica Wells|2917 Chalfont Ln|Plano|TX|75023|(972) 612-1222|info@globalhd.com
7 Color Import Inc.|We carry trendy shoes, handbags, and accessories perfect for your stores!|http://www.7colorimport.com|shoes, handbags, accessories, trendy, handbags, hats, scarves|Handbags, Hats / Scarves, Women's Footwear|Amy Lin|1706 Flashing Ave|Queens|NY|11385|(347) 763-0627|amylincollection@gmail.com
7 Star Trading|Historically accurate chinese swords|www.sevenstarstrading.com|general merchandise, dollar store, closeouts, wholesale, disposable, health, wellness, baby, kids, housewares, toys, gifts,|General Merchandise|Javid Sharifi|3543 Marvin St|Annandale|VA|22003|(703) 573-2939|sevenstarstrading688@gmail.com
702Ave|Blank apparel wholesaler|https://702ave.com/|blank apparel, construction shirts, apparel, tees, shirts, clothing,|Men's Apparel|Huda Muwalla|4685 Boulder Highway|Las Vegas|NV|89121|(702) 358-3882|
79 South China Import|Wholesale Sandals, Slippers, Aqua Shoes, Boots, Flip Flops and Footwear for over 43 years. Please visit our booth for Show Specials and great New styles. Established in 1979 in New York our history shows our commitment in specializing in footwear for all our customers. Best Prices and Quality,New styles with Great ROI for your stores. We are a dependable footwear source that carries items in Stock and ship out the same/next business day. Please visit or website for www.southchinaimport.com and our booth for all our inventory.|http://www.southchinaimport.com|footwear, sal, slippers, aqua shoes, boots, sneakers, eve, mann, princess, fashion sal, beach sal, s.c.i.i., zori, flip flop, eva, new york, flip flops, water socks, clogs, shoes, sneakers, flats, drivers, heels, kids shoes, kids sals, kids flip flops, winter slippers, fuzzy slippers, indoor slippers, house slippers, canvas shoes, party shoes, wedding shoes, mesh slipper, chinese slipper, wedge, beachcomber, beach comber, slip on, driver, br, animal, custom, factory, shark slippers, dinosaur, fish, gift, mothers day, fathers day, boots, sparkle, shiny, house, house slipper, outdoor slipper, eve, scii, mann, heart, slides, bow, injection, dress|Swimwear, Kids / Baby Footwear, Men's Footwear, Women's Footwear, Closeouts / Liquidation|Samuel Wong, Bobby Cheung|28 Williams St|Lynbrook|NY|11563|(718) 389-6731|sochinany@yahoo.com
